path,json_null_before,json_null_after,lowercase_null_text_before,lowercase_null_text_after,status,blocker
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_BODY360_MEASURABLES.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_CAMERA360_MODEL_RULES.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_ENVIRONMENT360_COMPATIBILITY.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_EXPRESSION360_FACS_LITE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_FACE360_LANDMARK_TOLERANCE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_HAIR360_TECHNICAL_PROFILE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_HANDS_FEET360_DETAIL.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_LIGHTING360_MODEL_RESPONSE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_MOTION360_VIDEO_BIOMECHANICS.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
IDUNEX/03_PROJECT_FACTORY/01_TEMPLATES/IDUNEX_PROJECT_TEMPLATE_v1.0.0/PROJECT_CORE/09_PROFILE360_TECH_EXT/MODEL_001_SKIN360_LIGHT_RESPONSE.json,0,0,1,0,PASS,BLOCKED_TECH_EXT_NULL_INHERITANCE
